State_ID,F,W,H,D,Mu_Mode,Mu_Eat,Mu_Drink,Q_Value,Phi_Mode,Phi_Eat,Phi_Drink,W_Value,Conflict
16,0,0,1,0,wait,0,0,-99.9908,wait,0,0,-99.9971,False
17,0,0,1,1,wait,0,0,-99.9908,wait,0,0,-99.9971,False
18,0,0,1,2,wait,0,0,-99.9908,wait,0,0,-99.9971,False
19,0,0,1,3,wait,0,0,-99.9908,wait,0,0,-99.9971,False
20,0,0,1,4,wait,0,0,-99.9908,wait,0,0,-99.9971,False
21,0,0,1,5,wait,0,0,-99.9908,wait,0,0,-99.9971,False
22,0,0,1,6,wait,0,0,-99.9908,wait,0,0,-99.9971,False
23,0,0,1,7,wait,0,0,-99.9908,wait,0,0,-99.9971,False
24,0,0,1,8,wait,0,0,-99.9908,wait,0,0,-99.9971,False
25,0,0,1,9,wait,0,0,-99.9908,wait,0,0,-99.9971,False
26,0,0,1,10,wait,0,0,-99.9908,wait,0,0,-99.9971,False
27,0,0,1,11,wait,0,0,-99.9908,wait,0,0,-99.9971,False
28,0,0,1,12,wait,0,0,-99.9908,wait,0,0,-99.9971,False
29,0,0,1,13,wait,0,0,-99.9908,wait,0,0,-99.9971,False
30,0,0,1,14,wait,0,0,-99.9908,wait,0,0,-99.9971,False
31,0,0,1,15,wait,0,0,0.0,wait,0,0,0.0,False
32,0,0,2,0,wait,0,0,-99.9908,wait,0,0,-99.9971,False
33,0,0,2,1,wait,0,0,-99.9908,wait,0,0,-99.9971,False
34,0,0,2,2,wait,0,0,-99.9908,wait,0,0,-99.9971,False
35,0,0,2,3,wait,0,0,-99.9908,wait,0,0,-99.9971,False
36,0,0,2,4,wait,0,0,-99.9908,wait,0,0,-99.9971,False
37,0,0,2,5,wait,0,0,-99.9908,wait,0,0,-99.9971,False
38,0,0,2,6,wait,0,0,-99.9908,wait,0,0,-99.9971,False
39,0,0,2,7,wait,0,0,-99.9908,wait,0,0,-99.9971,False
40,0,0,2,8,wait,0,0,-99.9908,wait,0,0,-99.9971,False
41,0,0,2,9,wait,0,0,-99.9908,wait,0,0,-99.9971,False
42,0,0,2,10,wait,0,0,-99.9908,wait,0,0,-99.9971,False
43,0,0,2,11,wait,0,0,-99.9908,wait,0,0,-99.9971,False
44,0,0,2,12,wait,0,0,-99.9908,wait,0,0,-99.9971,False
45,0,0,2,13,wait,0,0,-99.9908,wait,0,0,-99.9971,False
46,0,0,2,14,wait,0,0,-99.9908,wait,0,0,-99.9971,False
47,0,0,2,15,wait,0,0,0.0,wait,0,0,0.0,False
48,0,0,3,0,wait,0,0,-74.6381,wait,0,0,-92.437,False
49,0,0,3,1,wait,0,0,-74.8498,wait,0,0,-91.9326,False
50,0,0,3,2,wait,0,0,-74.746,wait,0,0,-92.9243,False
