batch,action_idx,action,Q,W
55000,0,"('wait', 0, 0)",-11.572277069091797,-44.42460250854492
55000,1,"('wait', 0, 1)",-8.778244972229004,-31.466337203979492
55000,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
55000,3,"('wait', 1, 0)",-9.54723834991455,-35.97409439086914
55000,4,"('wait', 1, 1)",-5.99761962890625,-17.2795352935791
55000,5,"('wait', 1, 2)",-6.392947673797607,-19.296598434448242
55000,6,"('wait', 2, 0)",-9.465397834777832,-39.72243118286133
55000,7,"('wait', 2, 1)",-6.7356390953063965,-25.27177619934082
55000,8,"('wait', 2, 2)",-5.203003883361816,-11.472474098205566
55000,9,"('hunt', 0, 0)",-11.967029571533203,-45.075767517089844
55000,10,"('hunt', 0, 1)",-8.561935424804688,-29.42557716369629
55000,11,"('hunt', 0, 2)",-8.435627937316895,-29.66216278076172
55000,12,"('hunt', 1, 0)",-9.251697540283203,-33.99697494506836
55000,13,"('hunt', 1, 1)",-5.825082302093506,-15.52285385131836
55000,14,"('hunt', 1, 2)",-6.0371222496032715,-17.00335693359375
55000,15,"('hunt', 2, 0)",-8.997177124023438,-37.176918029785156
55000,16,"('hunt', 2, 1)",-6.889170169830322,-24.544780731201172
55000,17,"('hunt', 2, 2)",-4.785401821136475,-9.513065338134766
55000,18,"('expedition', 0, 0)",,
55200,0,"('wait', 0, 0)",-11.572277069091797,-44.42460250854492
55200,1,"('wait', 0, 1)",-8.804323196411133,-31.554946899414062
55200,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
55200,3,"('wait', 1, 0)",-9.55339241027832,-35.978084564208984
55200,4,"('wait', 1, 1)",-5.999514102935791,-17.280698776245117
55200,5,"('wait', 1, 2)",-6.392947673797607,-19.296598434448242
55200,6,"('wait', 2, 0)",-9.465397834777832,-39.72243118286133
55200,7,"('wait', 2, 1)",-6.739550590515137,-25.2778263092041
55200,8,"('wait', 2, 2)",-5.203003883361816,-11.472474098205566
55200,9,"('hunt', 0, 0)",-11.995964050292969,-45.14784622192383
55200,10,"('hunt', 0, 1)",-8.566529273986816,-29.405488967895508
55200,11,"('hunt', 0, 2)",-8.44490909576416,-29.690921783447266
55200,12,"('hunt', 1, 0)",-9.251697540283203,-33.99697494506836
55200,13,"('hunt', 1, 1)",-5.826519966125488,-15.541614532470703
55200,14,"('hunt', 1, 2)",-6.038788318634033,-16.984661102294922
55200,15,"('hunt', 2, 0)",-8.997177124023438,-37.176918029785156
55200,16,"('hunt', 2, 1)",-6.889170169830322,-24.544780731201172
55200,17,"('hunt', 2, 2)",-4.826940536499023,-9.630807876586914
55200,18,"('expedition', 0, 0)",,
55400,0,"('wait', 0, 0)",-11.600968360900879,-44.49691390991211
55400,1,"('wait', 0, 1)",-8.814536094665527,-31.54780387878418
55400,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
55400,3,"('wait', 1, 0)",-9.55339241027832,-35.978084564208984
55400,4,"('wait', 1, 1)",-5.999514102935791,-17.280698776245117
55400,5,"('wait', 1, 2)",-6.392947673797607,-19.296598434448242
55400,6,"('wait', 2, 0)",-9.465397834777832,-39.72243118286133
55400,7,"('wait', 2, 1)",-6.739550590515137,-25.2778263092041
55400,8,"('wait', 2, 2)",-5.20325231552124,-11.471463203430176
55400,9,"('hunt', 0, 0)",-12.0038423538208,-45.16921615600586
55400,10,"('hunt', 0, 1)",-8.580178260803223,-29.41543197631836
55400,11,"('hunt', 0, 2)",-8.44490909576416,-29.690921783447266
55400,12,"('hunt', 1, 0)",-9.251697540283203,-33.99697494506836
55400,13,"('hunt', 1, 1)",-5.827939033508301,-15.523101806640625
55400,14,"('hunt', 1, 2)",-6.031653881072998,-16.911928176879883
55400,15,"('hunt', 2, 0)",-9.038028717041016,-37.27913284301758
55400,16,"('hunt', 2, 1)",-6.889170169830322,-24.544780731201172
